epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,332.41,0.55151,0.46338,1.03364,0.96641,0.94,0.96909,0.90892,0.34673,0.38046,0.87131,0.00091882,0.00091882,0.00091882
43,340.192,0.54787,0.47545,1.02613,0.98224,0.99247,0.99101,0.91138,0.37178,0.33173,0.88823,0.00091684,0.00091684,0.00091684
44,347.878,0.5398,0.47396,1.03202,0.976,0.99061,0.99025,0.91929,0.35522,0.35214,0.88374,0.00091486,0.00091486,0.00091486
45,356.18,0.50857,0.45619,0.99844,0.98358,0.97649,0.98927,0.92935,0.33173,0.44565,0.86627,0.00091288,0.00091288,0.00091288
46,363.872,0.53762,0.46343,1.01647,0.98794,0.9923,0.99395,0.91795,0.35798,0.3087,0.88474,0.0009109,0.0009109,0.0009109
47,371.639,0.52529,0.44432,1.01743,0.98949,0.99626,0.99493,0.948,0.32433,0.2939,0.87218,0.00090892,0.00090892,0.00090892
48,379.308,0.53787,0.43427,1.01495,0.98744,0.99864,0.99499,0.94126,0.32399,0.29623,0.85897,0.00090694,0.00090694,0.00090694
49,387.031,0.52633,0.42804,1.00413,0.99177,0.99864,0.99495,0.94739,0.31049,0.27518,0.8502,0.00090496,0.00090496,0.00090496
50,394.66,0.53568,0.44461,0.99951,0.98579,0.99729,0.99458,0.93703,0.32003,0.27553,0.8654,0.00090298,0.00090298,0.00090298
51,402.262,0.52258,0.45343,1.01403,0.99153,0.99609,0.99405,0.93425,0.31905,0.26691,0.86437,0.000901,0.000901,0.000901
52,410.179,0.53499,0.43525,1.01844,0.99222,0.99864,0.995,0.93443,0.33153,0.28397,0.86103,0.00089902,0.00089902,0.00089902
53,418.422,0.51276,0.43861,0.9875,0.98987,0.99458,0.99478,0.93828,0.32568,0.28799,0.86064,0.00089704,0.00089704,0.00089704
54,426.469,0.50727,0.44363,1.00542,0.98284,0.99671,0.9949,0.94449,0.30356,0.27747,0.84653,0.00089506,0.00089506,0.00089506
55,434.451,0.50365,0.42188,0.99545,0.98749,0.99192,0.99458,0.9353,0.31284,0.27465,0.85161,0.00089308,0.00089308,0.00089308
56,442.466,0.50727,0.43459,0.99672,0.99034,0.99864,0.99373,0.93254,0.33106,0.27806,0.87005,0.0008911,0.0008911,0.0008911
57,450.39,0.54047,0.455,1.00973,0.9736,0.98334,0.99246,0.92377,0.33998,0.33027,0.88078,0.00088912,0.00088912,0.00088912
58,458.412,0.51314,0.43811,1.00378,0.9903,0.99864,0.995,0.94947,0.32006,0.25578,0.85894,0.00088714,0.00088714,0.00088714
59,466.457,0.4861,0.42509,0.98854,0.98441,0.97764,0.99438,0.94034,0.31053,0.31021,0.85109,0.00088516,0.00088516,0.00088516
60,474.059,0.51501,0.42148,1.00731,0.98491,0.99073,0.995,0.94771,0.30389,0.27606,0.85403,0.00088318,0.00088318,0.00088318
61,482.31,0.48819,0.38662,0.99086,0.9917,0.99023,0.99379,0.93483,0.32475,0.28889,0.86583,0.0008812,0.0008812,0.0008812
62,490.494,0.52401,0.42657,1.00726,0.98812,0.99864,0.99499,0.94447,0.3133,0.24951,0.85421,0.00087922,0.00087922,0.00087922
63,498.286,0.48134,0.39642,0.98612,0.99272,0.99864,0.995,0.95766,0.28724,0.24258,0.84578,0.00087724,0.00087724,0.00087724
64,506.115,0.49847,0.38896,0.99846,0.9905,0.99679,0.995,0.94941,0.29544,0.25245,0.84328,0.00087526,0.00087526,0.00087526
65,513.78,0.4808,0.39239,0.99183,0.99509,0.986,0.995,0.96554,0.27925,0.24895,0.8324,0.00087328,0.00087328,0.00087328
66,521.405,0.47711,0.4008,0.99462,0.98772,0.99729,0.99441,0.94804,0.30659,0.26241,0.84602,0.0008713,0.0008713,0.0008713
67,528.942,0.48783,0.38628,0.99873,0.99006,0.99864,0.995,0.94934,0.31616,0.26869,0.85912,0.00086932,0.00086932,0.00086932
68,536.447,0.47002,0.3753,0.97228,0.99502,0.99835,0.99463,0.94854,0.29115,0.25109,0.83747,0.00086734,0.00086734,0.00086734
69,543.987,0.47763,0.38677,0.98181,0.99237,0.99849,0.995,0.96049,0.28872,0.2444,0.84149,0.00086536,0.00086536,0.00086536
